växthusgas	sektor	år	Totala utsläpp av växthusgaser
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2012	5824.5
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2013	5662.7
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2014	4511.7
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2015	4580.8
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2016	4786.6
Totala Växthusgaser (kt CO2-ekv.)	EL OCH FJÄRRVÄRME, TOTALT	2017	4413.0
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	1990	20711.5
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	1991	20491.7
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	1992	19043.4
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	1993	20259.5
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	1994	21514.5
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	1995	22309.4
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	1996	22352.5
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	1997	22307.0
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	1998	22069.0
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	1999	21067.5
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2000	21481.9
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2001	22240.0
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2002	22056.6
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2003	21655.0
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2004	21836.5
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2005	21083.8
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2006	21638.9
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2007	20793.5
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2008	20060.3
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2009	15690.7
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2010	19277.8
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2011	18102.4
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2012	17386.5
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2013	16533.7
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2014	16727.2
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2015	16499.5
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2016	16877.2
Totala Växthusgaser (kt CO2-ekv.)	INDUSTRI, TOTALT	2017	17202.5
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	1990	19673.7
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	1991	19690.4
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	1992	20591.6
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	1993	19474.2
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	1994	19897.5
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	1995	19969.0
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	1996	19629.3
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	1997	19686.0
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	1998	19729.9
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	1999	20070.9
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2000	19866.8
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2001	19905.7
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2002	20377.7
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2003	20605.7
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2004	20887.8
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2005	20998.4
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2006	20887.8
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2007	21157.5
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2008	20550.1
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2009	20246.1
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2010	20296.0
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2011	19875.1
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2012	18623.3
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2013	18164.1
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2014	17791.4
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2015	17857.4
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2016	17054.3
Totala Växthusgaser (kt CO2-ekv.)	INRIKES TRANSPORTER, TOTALT	2017	16590.1
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	1990	3617.4
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	1991	3785.8
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	1992	3971.6
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	1993	4318.3
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	1994	4986.0
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	1995	5013.3
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	1996	5263.9
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	1997	6000.4
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	1998	6794.5
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	1999	6892.5
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2000	6799.2
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2001	6624.8
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2002	5802.8
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2003	7195.3
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2004	8399.9
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2005	8706.2
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2006	9285.3
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2007	9696.3
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2008	9588.9
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2009	9509.5
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2010	8954.3
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2011	8276.0
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2012	8055.7
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2013	7810.4
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2014	8243.9
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2015	8376.1
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2016	9399.4
Totala Växthusgaser (kt CO2-ekv.)	UTRIKES TRANSPORTER, TOTALT	2017	10632.2
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	1990	7658.3
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	1991	7396.3
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	1992	7277.7
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	1993	7671.0
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	1994	7703.0
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	1995	7912.2
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	1996	7620.8
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	1997	7861.4
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	1998	7562.9
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	1999	7605.5
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2000	7774.0
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2001	7258.0
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2002	7363.4
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2003	7318.4
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2004	7083.1
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2005	7052.2
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2006	7242.6
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2007	6893.2
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2008	6967.7
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2009	6694.5
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2010	6820.4
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2011	7136.1
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2012	6660.6
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2013	6888.6
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2014	6988.8
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2015	6860.1
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2016	6870.5
Totala Växthusgaser (kt CO2-ekv.)	JORDBRUK, TOTALT	2017	7186.7
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	1990	565.1
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	1991	506.8
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	1992	489.9
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	1993	516.1
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	1994	501.7
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	1995	633.4
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	1996	704.2
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	1997	935.2
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	1998	1001.3
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	1999	1223.1
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2000	1338.7
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2001	1444.2
